bench,call,cache,invalid
benchmarks/logs/CharAtTest_test_sym___MAS.log,12,6,13
benchmarks/logs/ConcatTest_test_sym_sym___MAS.log,4,2,2
benchmarks/logs/ContainsTest_testConc_sym___MAS.log,8,5,2
benchmarks/logs/ContainsTest_testSym_sym_sym___MAS.log,4,2,2
benchmarks/logs/DeleteTest_test_sym___MAS.log,12,7,4
benchmarks/logs/DelimSearch_search_sym_sym___MAS.log,1,0,0
benchmarks/logs/EndsWithTest_testConc_sym___MAS.log,1,0,0
benchmarks/logs/EndsWithTest_testSym_sym_sym___MAS.log,8,4,4
benchmarks/logs/ExSymExeStrings01_test_sym_sym___MAS.log,3,0,0
benchmarks/logs/ExSymExeStrings02_test_sym_sym___MAS.log,2,0,0
benchmarks/logs/ExSymExeStrings03_test_sym_sym___MAS.log,2,1,0
benchmarks/logs/ExSymExeStrings04_test_sym_sym___MAS.log,2,0,0
benchmarks/logs/ExSymExeStrings05_test_sym_sym___MAS.log,2,0,0
benchmarks/logs/ExSymExeStrings06_test_sym_sym___MAS.log,2,0,0
benchmarks/logs/ExSymExeStrings07_test_sym_sym___MAS.log,4,2,1
benchmarks/logs/ExSymExeStrings09_test_sym_sym___MAS.log,27,17,56
benchmarks/logs/ExSymExeStrings10_test_sym_sym___MAS.log,4,2,2
benchmarks/logs/ExSymExeStrings11_test_sym_sym___MAS.log,4,3,0
benchmarks/logs/ExSymExeStrings12_test_sym_sym___MAS.log,4,3,0
benchmarks/logs/ExSymExeStrings13_test_sym_sym___MAS.log,7,4,2
benchmarks/logs/ExSymExeStrings14_test_sym_sym___MAS.log,1,0,0
benchmarks/logs/ExSymExeStrings15_test_sym_sym___MAS.log,4,3,0
benchmarks/logs/ExSymExeStrings16_test_sym_sym___MAS.log,1,0,0
benchmarks/logs/ExSymExeStrings17_test_sym_sym___MAS.log,4,3,0
benchmarks/logs/ExSymExeStrings18_test_sym_sym___MAS.log,1,0,0
benchmarks/logs/ExSymExeStrings19_test_sym_sym___MAS.log,1,0,0
benchmarks/logs/ExSymExeStrings20_test_sym_sym___MAS.log,1,0,0
benchmarks/logs/ExSymExeStrings21_test_sym_sym_sym___MAS.log,3,1,0
benchmarks/logs/ExSymExeStrings22_test_sym_sym_sym_sym___MAS.log,4,1,0
benchmarks/logs/ExSymExeStrings23_test_sym_sym_sym_sym___MAS.log,5,1,0
benchmarks/logs/ExSymExeStrings24_test_sym_sym_sym___MAS.log,2,0,0
benchmarks/logs/ExSymExeStrings25_test_sym___MAS.log,2,0,0
benchmarks/logs/ExSymExeStrings26_test_sym_sym___MAS.log,4,2,2
benchmarks/logs/ExSymExeStrings27_test_sym_sym___MAS.log,4,3,0
benchmarks/logs/ExSymExeStrings28_test_sym_sym___MAS.log,4,3,0
benchmarks/logs/ExSymExeStrings29_test_sym_sym___MAS.log,4,3,0
benchmarks/logs/ExSymExeStrings30_test_sym_sym___MAS.log,2,0,0
benchmarks/logs/ExSymExeStrings31_test_sym_sym___MAS.log,12,7,10
benchmarks/logs/ExSymExeStrings32_test_sym_sym___MAS.log,12,7,10
benchmarks/logs/ExSymExeStrings33_test_sym_sym_sym___MAS.log,2,0,0
benchmarks/logs/ExSymExeStrings34_test_sym_sym_sym___MAS.log,1,0,0
benchmarks/logs/ExSymExeStrings35_test_sym_sym_sym___MAS.log,1,0,0
benchmarks/logs/ExSymExeStrings36_test_sym_sym_sym___MAS.log,1,0,0
benchmarks/logs/ExSymExeStrings37_test_sym_sym_sym___MAS.log,1,0,0
benchmarks/logs/ExSymExeStrings38_test_sym_sym_sym___MAS.log,1,0,0
benchmarks/logs/ExSymExeStrings39_test_sym_sym_sym___MAS.log,6,3,1
benchmarks/logs/ExSymExeStrings40_test_sym_sym_sym___MAS.log,1,0,0
benchmarks/logs/ExSymExeStrings41_test_sym_sym_sym___MAS.log,1,0,0
benchmarks/logs/ExSymExeStrings42_test_sym_sym_sym___MAS.log,1,0,0
benchmarks/logs/ExSymExeStrings43_test_sym_sym_sym___MAS.log,2,0,0
benchmarks/logs/ExSymExeStrings44_test_sym_sym_sym___MAS.log,2,0,0
benchmarks/logs/ExSymExeStrings45_test_sym_sym_sym___MAS.log,8,4,5
benchmarks/logs/ExSymExeStrings46_test_sym_sym_sym___MAS.log,4,3,0
benchmarks/logs/ExSymExeStrings47_test_sym_sym_sym___MAS.log,1,0,0
benchmarks/logs/ExSymExeStrings48_test_sym_sym_sym___MAS.log,1,0,0
benchmarks/logs/ExSymExeStrings49_test_sym_sym_sym___MAS.log,4,3,0
benchmarks/logs/ExSymExeStrings50_test_sym_sym_sym___MAS.log,1,0,0
benchmarks/logs/ExSymExeStrings51_test_sym_sym_sym___MAS.log,1,0,0
benchmarks/logs/ExSymExeStrings52_test_sym_sym_sym___MAS.log,10,8,0
benchmarks/logs/ExSymExeStrings53_test_sym_sym_sym___MAS.log,7,4,2
benchmarks/logs/ExSymExeStrings55_test_sym_sym___MAS.log,3,0,1
benchmarks/logs/ExSymExeStrings57_test_sym_sym_sym___MAS.log,4,2,0
benchmarks/logs/ExSymExeStrings58_test_sym_sym_sym___MAS.log,4,2,0
benchmarks/logs/ExSymExeStrings60_test_sym___MAS.log,4,2,0
benchmarks/logs/ExSymExeStrings61_test_sym___MAS.log,1,0,0
benchmarks/logs/ExSymExeStrings62_fixedtest_sym___MAS.log,4,2,0
benchmarks/logs/ExSymExeStrings63_test_sym_sym___MAS.log,3,0,1
benchmarks/logs/ExSymExeStrings64_test_sym_sym___MAS.log,3,0,1
benchmarks/logs/ExSymExeStringsDemo_test08_sym_sym_sym___MAS.log,4,2,0
benchmarks/logs/ExSymExeStringsFailed_test_sym___MAS.log,11,6,10
benchmarks/logs/GoodbyeWorld_hello_sym___MAS.log,8,4,3
benchmarks/logs/HelloWorld_hello_sym___MAS.log,4,3,0
benchmarks/logs/InsertTest_testConc_sym___MAS.log,11,6,4
benchmarks/logs/InsertTest_testSym_sym_sym___MAS.log,12,7,4
benchmarks/logs/IsEmptyTest_testMixed_sym_sym___MAS.log,11,5,12
benchmarks/logs/LowerCaseTest_test_sym___MAS.log,4,3,0
benchmarks/logs/MSExample_IsEasyChairQuery_sym___MAS.log,1,0,0
benchmarks/logs/MasterMind_guessCode_sym_sym___MAS.log,1,0,0
benchmarks/logs/MysteryQuestionMin_preserveSomeHtmlTagsAndRemoveWhitespaces_sym___MAS.log,1,0,0
benchmarks/logs/NaivePWCheck_verifyPassword_sym___MAS.log,1,0,0
benchmarks/logs/PassCheck_passCheckInsecure_sym___MAS.log,4,1,1
benchmarks/logs/PassCheck_passCheckSecure_sym___MAS.log,1,0,0
benchmarks/logs/Performance01_test2_sym_sym_sym___MAS.log,1,0,0
benchmarks/logs/Performance03_test_sym_sym_sym___MAS.log,1,0,0
benchmarks/logs/ReplaceTest_testAll_sym___MAS.log,4,3,0
benchmarks/logs/ReplaceTest_testFirst_sym___MAS.log,4,3,0
benchmarks/logs/ReverseTest_testConc_sym___MAS.log,4,3,0
benchmarks/logs/ReverseTest_testSym_sym_sym___MAS.log,4,2,2
benchmarks/logs/StartsWithTest_testConc_sym___MAS.log,4,3,0
benchmarks/logs/StartsWithTest_testSym_sym_sym___MAS.log,7,3,4
benchmarks/logs/StringSearch_search_1_sym_sym___MAS.log,1,0,0
benchmarks/logs/StringSearch_search_2_sym_sym___MAS.log,1,0,0
benchmarks/logs/StringSearch_search_5_sym_sym___MAS.log,1,0,0
benchmarks/logs/SubstringTest_test_sym_sym___MAS.log,1,0,0
benchmarks/logs/TrimTest_test_sym___MAS.log,11,6,4
benchmarks/logs/UpperCaseTest_test_sym___MAS.log,4,3,0
benchmarks/logs/ValueOfTest_test_sym___MAS.log,20,11,8
