bench,call,cache,invalid
CharAtTest_test_sym,12,6,13
ConcatTest_test_sym_sym,4,2,2
ContainsTest_testConc_sym,8,5,2
ContainsTest_testSym_sym_sym,4,2,2
DeleteTest_test_sym,12,7,4
DelimSearch_search_sym_sym,1,0,0
EndsWithTest_testConc_sym,1,0,0
EndsWithTest_testSym_sym_sym,8,4,4
ExSymExeStrings01_test_sym_sym,3,0,0
ExSymExeStrings02_test_sym_sym,2,0,0
ExSymExeStrings03_test_sym_sym,2,1,0
ExSymExeStrings04_test_sym_sym,2,0,0
ExSymExeStrings05_test_sym_sym,2,0,0
ExSymExeStrings06_test_sym_sym,2,0,0
ExSymExeStrings07_test_sym_sym,4,2,1
ExSymExeStrings09_test_sym_sym,27,17,56
ExSymExeStrings10_test_sym_sym,4,2,2
ExSymExeStrings11_test_sym_sym,4,3,0
ExSymExeStrings12_test_sym_sym,4,3,0
ExSymExeStrings13_test_sym_sym,7,4,2
ExSymExeStrings14_test_sym_sym,1,0,0
ExSymExeStrings15_test_sym_sym,4,3,0
ExSymExeStrings16_test_sym_sym,1,0,0
ExSymExeStrings17_test_sym_sym,4,3,0
ExSymExeStrings18_test_sym_sym,1,0,0
ExSymExeStrings19_test_sym_sym,1,0,0
ExSymExeStrings20_test_sym_sym,1,0,0
ExSymExeStrings21_test_sym_sym_sym,3,1,0
ExSymExeStrings22_test_sym_sym_sym_sym,4,1,0
ExSymExeStrings23_test_sym_sym_sym_sym,5,1,0
ExSymExeStrings24_test_sym_sym_sym,2,0,0
ExSymExeStrings25_test_sym,2,0,0
ExSymExeStrings26_test_sym_sym,4,2,2
ExSymExeStrings27_test_sym_sym,4,3,0
ExSymExeStrings28_test_sym_sym,4,3,0
ExSymExeStrings29_test_sym_sym,4,3,0
ExSymExeStrings30_test_sym_sym,2,0,0
ExSymExeStrings31_test_sym_sym,12,7,10
ExSymExeStrings32_test_sym_sym,12,7,10
ExSymExeStrings33_test_sym_sym_sym,2,0,0
ExSymExeStrings34_test_sym_sym_sym,1,0,0
ExSymExeStrings35_test_sym_sym_sym,1,0,0
ExSymExeStrings36_test_sym_sym_sym,1,0,0
ExSymExeStrings37_test_sym_sym_sym,1,0,0
ExSymExeStrings38_test_sym_sym_sym,1,0,0
ExSymExeStrings39_test_sym_sym_sym,6,3,1
ExSymExeStrings40_test_sym_sym_sym,1,0,0
ExSymExeStrings41_test_sym_sym_sym,1,0,0
ExSymExeStrings42_test_sym_sym_sym,1,0,0
ExSymExeStrings43_test_sym_sym_sym,2,0,0
ExSymExeStrings44_test_sym_sym_sym,2,0,0
ExSymExeStrings45_test_sym_sym_sym,8,4,5
ExSymExeStrings46_test_sym_sym_sym,4,3,0
ExSymExeStrings47_test_sym_sym_sym,1,0,0
ExSymExeStrings48_test_sym_sym_sym,1,0,0
ExSymExeStrings49_test_sym_sym_sym,4,3,0
ExSymExeStrings50_test_sym_sym_sym,1,0,0
ExSymExeStrings51_test_sym_sym_sym,1,0,0
ExSymExeStrings52_test_sym_sym_sym,10,8,0
ExSymExeStrings53_test_sym_sym_sym,7,4,2
ExSymExeStrings55_test_sym_sym,3,0,1
ExSymExeStrings57_test_sym_sym_sym,4,2,0
ExSymExeStrings58_test_sym_sym_sym,4,2,0
ExSymExeStrings60_test_sym,4,2,0
ExSymExeStrings61_test_sym,1,0,0
ExSymExeStrings62_fixedtest_sym,4,2,0
ExSymExeStrings63_test_sym_sym,3,0,1
ExSymExeStrings64_test_sym_sym,3,0,1
ExSymExeStringsDemo_test08_sym_sym_sym,4,2,0
ExSymExeStringsFailed_test_sym,11,6,10
GoodbyeWorld_hello_sym,8,4,3
HelloWorld_hello_sym,4,3,0
InsertTest_testConc_sym,11,6,4
InsertTest_testSym_sym_sym,12,7,4
IsEmptyTest_testMixed_sym_sym,11,5,12
LowerCaseTest_test_sym,4,3,0
MSExample_IsEasyChairQuery_sym,1,0,0
MasterMind_guessCode_sym_sym,1,0,0
MysteryQuestionMin_preserveSomeHtmlTagsAndRemoveWhitespaces_sym,1,0,0
NaivePWCheck_verifyPassword_sym,1,0,0
PassCheck_passCheckInsecure_sym,4,1,1
PassCheck_passCheckSecure_sym,1,0,0
Performance01_test2_sym_sym_sym,1,0,0
Performance03_test_sym_sym_sym,1,0,0
ReplaceTest_testAll_sym,4,3,0
ReplaceTest_testFirst_sym,4,3,0
ReverseTest_testConc_sym,4,3,0
ReverseTest_testSym_sym_sym,4,2,2
StartsWithTest_testConc_sym,4,3,0
StartsWithTest_testSym_sym_sym,7,3,4
StringSearch_search_1_sym_sym,1,0,0
StringSearch_search_2_sym_sym,1,0,0
StringSearch_search_5_sym_sym,1,0,0
SubstringTest_test_sym_sym,1,0,0
TrimTest_test_sym,11,6,4
UpperCaseTest_test_sym,4,3,0
ValueOfTest_test_sym,20,11,8
